Plant Scientific Name stringFilter,Plant Common Name stringFilter,Image imageType,Contaminants Csvfilteror,Accumlation Quantity (if known) csvFilterOr,Accumlation Type (if known) csvFilterOr,Source for Phyto ,Notes ,Search All stringFilter - Hidden
Gleditsia triacanthos,Honey Locust,https://images.squarespace-cdn.com/content/669bb94c5910e504b512f3a4/bcaa7b5c-e4f5-4883-83bc-f877c36326f1/HoneyLocust.jpg?content-type=image%2Fjpeg,Lead,N/A,Phytoextraction,"1) USDA NRCS Plant Materials Center, Manhattan, Kansas & Kansas State University, Forestry Researchhttp://plants.usda.gov/factsheet/pdf/fs_sani.pdf
 2) April 2003, Jeremiah Knuth, Department of Civil Engineering, Colorado State University.http://rydberg.biology.colostate.edu/Phytoremediation/2003/Knuth/home.htm
 3) McCutcheon, S.C., & Schnoor, J.L. (Eds.). (2003). Phytoremediation: Transformation and Control of Contaminants. Hoboken, New Jersey: Wiley-Interscience, Inc. http://www.superorg.net/archive/proposal/plant%20species%20phyto.pdf
 4) http://www.flickr.com/photos/valdelobos/4650528502/ (Photo Source)","Canopy of small leaves will not shade out turf grasses or other landscape plants. Growth Rate: Rapid. Medium sized tree-height at 20 Years-35,Ã¢â‚¬â„¢ mature-70.0Ã¢â‚¬â„¢. Habitat: Prefers anywhere with ample soil moisture. USDA hardiness zones: 3 through",
Glycine max,Soybean,https://images.squarespace-cdn.com/content/669bb94c5910e504b512f3a4/07770585-b130-4a39-9e23-aca00af75ba0/Soybean.jpg?content-type=image%2Fjpeg,"Arsenic, Cobalt, Copper, Nickel",Accumulator,"Phytoextraction, Phytostabilization","1) U.S Environmental Protection Agency (EPA). Phytoremediation field studies database for chlorinated solvents, pesticides, explosives, and metals. http://www.afcee.af.mil/shared/media/document/AFD-071130-018.pdf
 2) http://www.flickr.com/photos/pennstatelive/4951136730/ (Photo Source)
 3) Zhu S, Ma X, Guo R, et al. A field study on heavy metals phytoattenuation potential of monocropping and intercropping of maize and/or legumes in weakly alkaline soils. Int J Phytoremediation. 2016;18(10):1014-1021. doi:10.1080/15226514.2016.1183570
 4) Fu, Yanzhao, et al. â€œPermeability of Plant Young Root Endodermis to Cu Ions and Cu-Citrate Complexes in Corn and Soybean.â€ International Journal of Phytoremediation, vol. 17, no. 9, 2015, pp. 822â€“834., doi:10.1080/15226514.2014.981241.",Hardiness: USDA Zones 7-9,
Guercus gambelii,Gambel Oak,https://images.squarespace-cdn.com/content/669bb94c5910e504b512f3a4/663db435-2499-402f-bc8d-4cf942a9c407/GambelOak.jpg?content-type=image%2Fjpeg,"Chlorinated Solvents, Lead, Palladium, Plutonium, Uranium",N/A,N/A,"1) Phytoremediation of Radionuclides. Dushenkov et al. 1998, Negri and Hinchman 2000, Huang et al. 1998, et al. 1997, Negri and Hinchman 2000, Dushenkov et al. 1998. http://rydberg.biology.colostate.edu/Phytoremediation/2000/Lawra/BZ580.htm
 2) http://www.flickr.com/photos/bryanto/2868761091/ (Photo Source)",Hardiness Zones: Zones 4-8,
Gynerium sagittatum,Wildcane,,"Cadmium, Mercury, Chromium, Lead- Landfill Leachate",Accumulator,Phytoaccumulation,"Madera-Parra CA, PeÃ±a-Salamanca EJ, PeÃ±a MR, Rousseau DP, Lens PN. Phytoremediation of Landfill Leachate with Colocasia esculenta, Gynerum sagittatum and Heliconia psittacorum in Constructed Wetlands. Int J Phytoremediation. 2015;17(1-6):16-24. doi:10.1080/15226514.2013.828014",,
Hammada scoparia (Pomel) Ijin,,,"Lead, Zinc, Copper, Cadmium",Accumulator,"Phytoextraction, Phytostabilization","Midhat L, Ouazzani N, Esshaimi M, Ouhammou A, Mandi L. Assessment of heavy metals accumulation by spontaneous vegetation: Screening for new accumulator plant species grown in Kettara mine-Marrakech, Southern Morocco. Int J Phytoremediation. 2017;19(2):191-198. doi:10.1080/15226514.2016.1207604",,
Handroanthus impetiginosus,Pink Trumpet Tree,,"Zinc, Cadmium, Copper, Palladium",Tolerant,Accumulator,"Meyer ST, Castro SR, Fernandes MM, Soares AC, de Souza Freitas GA, Ribeiro E. Heavy-metal-contaminated industrial soil: Uptake assessment in native plant species from Brazilian Cerrado. Int J Phytoremediation. 2016;18(8):832-838. doi:10.1080/15226514.2016.1146224",,
Hater Hyssop,Hater Hyssop,,"Cadmium, Chromium, Copper, Lead, Mercury","Accumulator, Hyperaccumulator",N/A,"1) McCutcheon, S.C., & Schnoor, J.L. (Eds.). (2003). Phytoremediation: Transformation and Control of Contaminants. Hoboken, New Jersey: Wiley-Interscience, Inc. http://www.superorg.net/archive/proposal/plant%20species%20phyto.pdf",Comes from India; emergent species. USDA Hardiness Zone: 3 - 9,
Hedera helix,English Ivy,https://images.squarespace-cdn.com/content/669bb94c5910e504b512f3a4/a1538ad3-1915-4eb7-b214-1676976b3eaa/EnglishIvy.jpg?content-type=image%2Fjpeg,"Benzene, Carbon Monoxide, Formaldehyde, Petroleum, Toluene, Xylene","Hyperaccumulator, Tolerant",Phytoextraction,"1) B.C Wolverton Ph.D -Principal investigator. NASA. http://ntrs.nasa.gov/archive/nasa/casi.ntrs.nasa.gov/19930073077_1993073077.pdf
 2)Analysis of Phytoscapes Species for BP Retail Sites. Kim Tsao. David Tsao, Ph.D. BP Group Environmental Management Company. 28 March 2003
 3) http://www.flickr.com/photos/road_less_trvled/3801245172/ (Photo Source)","Groundcover. Plant Characteristics: Humidity Needed, Partial Sun, Moderate Water. Hardiness Zones 5 through 10",
Helianthus annuus,Sunflower,https://images.squarespace-cdn.com/content/669bb94c5910e504b512f3a4/676b8016-a730-4134-8a42-4b18ec204452/Sunflower.jpg?content-type=image%2Fjpeg,Copper,"Accumulator, Hyperaccumulator","Phytoextraction, Rhizofiltration","1) McCutcheon, S.C., & Schnoor, J.L. (Eds.). (2003). Phytoremediation: Transformation and Control of Contaminants. Hoboken, New Jersey: Wiley-Interscience, Inc. http://www.superorg.net/archive/proposal/plant%20species%20phyto.pdf
 2) http://www.flickr.com/photos/aizbaig/5062314980/(Photo Source)
 3) Salehi-Lisar SY, Deljoo S, Harzandi AM. Fluorene and Phenanthrene Uptake and Accumulation by Wheat, Alfalfa and Sunflower from the Contaminated Soil. Int J Phytoremediation. 2015;17(12):1145-1152. doi:10.1080/15226514.2015.1045123
 4) Bareen FE, Saeed S, Afrasiab H. Differential mobilization and metal uptake versus leaching in multimetal soil columns using EDTA and three metal bioaccumulators. Int J Phytoremediation. 2017;19(12):1109-1117. doi:10.1080/15226514.2017.1328391
 5) (Phyto Textbook) Kolbas, A., Mench M., Marchand L., Herzig R., and Nehnevajova, E. 2014. Phenotypic seedling responses of a metal-tolerant mutant line of sunflower growing on a Cu-contaminated soil series. Plant and S","The common sunflower has been the subject of numerous studies and is used to extract heavy metals (lead, Uranium, Strontium, Cesium, Chromium, Cadmium, Copper, Magnesium, Nickel, and Zinc) Organic material, chelating agents/soil amendments: sulfate. USDA",
Heliconia psittacorum,Parrott Heliconia,,"Cadmium, Mercury, Chromium, Lead- Landfill Leachate",Accumulator,Phytoaccumulation,"Madera-Parra CA, PeÃ±a-Salamanca EJ, PeÃ±a MR, Rousseau DP, Lens PN. Phytoremediation of Landfill Leachate with Colocasia esculenta, Gynerum sagittatum and Heliconia psittacorum in Constructed Wetlands. Int J Phytoremediation. 2015;17(1-6):16-24. doi:10.1080/15226514.2013.828014",,
Hemerocallis hybrid,Daylily,,Petroleum,Tolerant,N/A,"1) Analysis of Phytoscapes Species for BP Retail Sites. Kim Tsao. David Tsao, Ph.D. BP Group Environmental Management Company. 28 March 2003","Also known as Dwarf Yellow. Perennial, Bulb, Fern. Variety: Happy Returns and Scarlet Orbit. Hardiness zone 3-10.",
Hibiscus cannabinus L.,Kenaf,,"Iron, Arsenic","Accumulator, Tolerant","Phytostabilization, Phytoextraction","(Phyto Textbook) Meera, M., and Agamuthu, P. 2012. Phytoextraction of As and Fe using Hibiscus cannabis L. from soil polluted with landfill leachate. International Journal of Phytoremediation 14 (2), pp. 186-199.",,
Hirschfeldia incana L. Lagreze-Fossat,Shortpod Mustard,,"Lead, Zinc, Copper, Cadmium",Accumulator,"Phytoextraction, Phytostabilization","Midhat L, Ouazzani N, Esshaimi M, Ouhammou A, Mandi L. Assessment of heavy metals accumulation by spontaneous vegetation: Screening for new accumulator plant species grown in Kettara mine-Marrakech, Southern Morocco. Int J Phytoremediation. 2017;19(2):191-198. doi:10.1080/15226514.2016.1207604",,
Holoptelea integrifolia,Indian Elm,,Arsenic,Accumulator,Tolerant,"Kumar D, Singh VP, Tripathi DK, Prasad SM, Chauhan DK. Effect of Arsenic on Growth, Arsenic Uptake, Distribution of Nutrient Elements and Thiols in Seedlings of Wrightia arborea (Dennst.) Mabb. Int J Phytoremediation. 2015;17(1-6):128-134. doi:10.1080/15226514.2013.862205",,
Hordeum brachyantherum,Meadow Barley,https://images.squarespace-cdn.com/content/669bb94c5910e504b512f3a4/f4027e86-834b-4bf5-9882-098d45be0898/Meadowbarley.jpg?content-type=image%2Fjpeg,Trichloroethylene (Tce) Â And By-Products,N/A,N/A,"1) Jordahl, J., R. Tossell, M. Barackman and G. Vogt (2003) Phytoremediation for Hydraulic Control and Remediation: Beale 
 2) Air Force Base and Koppel Stockton Terminal. Abstracts from US EPA International Applied Phytotechnologies Workshop March 3-5, 2003 Chicago, IL 
 3) http://www.flickr.com/photos/plant_diversity/6134787290/(Photo Source)",Hydraulic control. Hardiness Zones 7-10,
Hordeum vulgare,Common Barley,https://images.squarespace-cdn.com/content/669bb94c5910e504b512f3a4/4d797e47-2620-4bff-b250-29f061f0d739/CommonBarley.jpg?content-type=image%2Fjpeg,Aluminum,N/A,N/A,"1) McCutcheon & Schnoor 2003, Phytoremediation. New Jersey, John Wiley & Sons pg 891. 
 2) http://www.flickr.com/photos/dag_endresen/4998910692/ (Photo Source)",Hardiness zone 8.,
Hordeum vulgarel,Barley,,Strontium,Accumulator,N/A,"1) McCutcheon & Schnoor 2003, Phytoremediation. New Jersey, John Wiley & Sons pg 891.
 2) Qi L, Qin X, Li FM, et al. Uptake and distribution of stable strontium in 26 cultivars of three crop species: oats, wheat, and barley for their potential use in phytoremediation. Int J Phytoremediation. 2015;17(1-6):264-271. doi:10.1080/15226514.2014.898016",Accumulation rates (in mg/kg dry weight): 1000. 25 records of plants. Hardiness zone 8,
Hydrangea macrophylla,Hydrangea,https://images.squarespace-cdn.com/content/669bb94c5910e504b512f3a4/2e51aceb-c503-4533-afd2-94703a2193cd/Hydrangea.jpg?content-type=image%2Fjpeg,Aluminum,Indicator,N/A,"1) http://en.wikipedia.org/wiki/List_of_hyperaccumulators
 2) http://www.flickr.com/photos/27307412@N07/5147191809/(Photo Source)",Does well in morning sun and afternoon shade. Certain cultivars do well in full sun. Used as an indicator plant. Flower changes to a blue color when Aluminum is added the soil. Hardy from zones 4 to 7.,
Hydrocharis morsus-ranae,Frogbit,,"Iron, Manganese, Zinc",Accumulator,Phytoaccumulation,"Engin MS, Uyanik A, Kutbay HG. Accumulation of heavy metals in water, sediments and wetland plants of kizilirmak delta (samsun, Turkey). Int J Phytoremediation. 2015;17(1-6):66-75. doi:10.1080/15226514.2013.828019",,
Hydrocharis morsus-ranae L.,European Frogbit,https://images.squarespace-cdn.com/content/669bb94c5910e504b512f3a4/9cd6fd5d-d9cc-44df-a8ad-72c03667c9e2/EuropeanFrogbit.jpg?content-type=image%2Fjpeg,"Chromium, Copper, Lead, Manganese, Mercury",N/A,N/A,"1) McCutcheon & Schnoor 2003, Phytoremediation. New Jersey, John Wiley & Sons, page 898.
 2) http://www.flickr.com/photos/28113115@N00/2809337443/ (Photo Source)",Planting Zone: 5,
Hydrocotyle vulgaris,Marsh Pennywort,,Prometryn,Tolerant,,"Ni J, Sun SX, Zheng Y, Datta R, Sarkar D, Li YM. Removal of prometryn from hydroponic media using marsh pennywort (Hydrocotyle vulgaris L.). Int J Phytoremediation. 2018;20(9):909-913. doi:10.1080/15226514.2018.1448359",,
Hyrdilla verticillata,Waterthymes,,"Arsenic, Cadmium, Copper, Nickel, Lead, Zinc","Accumulator of Metals, Hyperaccumulator of Metals",N/A,"1) McCutcheon, S.C., & Schnoor, J.L. (Eds.). (2003). Phytoremediation: Transformation and Control of Contaminants. Hoboken, New Jersey: Wiley-Interscience, Inc. http://www.superorg.net/archive/proposal/plant%20species%20phyto.pdf
 2) Phytoremediation of RadioÃ‚Â¬nuclides. Dushenkov et al. 1998, Negri and Hinchman 2000, Huang et al. 1998, et al. 1997, Negri and Hinchman 2000, Dushenkov et al. 1998. http://rydberg.biology.colostate.edu/Phytoremediation/2000/Lawra/BZ580.htm
 3) Lu G, Wang B, Zhang C, et al. Heavy metals contamination and accumulation in submerged macrophytes in an urban river in China. Int J Phytoremediation. 2018;20(8):839-846. doi:10.1080/15226514.2018.1438354","Accumulator of metals, Hyperaccumulator of metals. Comes from Southern Asia but introduced and spreading as the troublesome weed in the warmer states of the U.S. Hardy to zone 5",
Ilex cornuta,Carisa Holly,,Petroleum,Tolerant,N/A,,Shrub. Variety: Carisa. Hardiness zone 7-9.,
Impatiens bicolor royale,Royal Impatiens,,"Chromium, Nickel, Iron, Manganese, Cobalt, Copper, Zinc",Accumulator,,"Nawab J, Khan S, Shah MT, Khan K, Huang Q, Ali R. Quantification of Heavy Metals in Mining Affected Soil and Their Bioaccumulation in Native Plant Species. Int J Phytoremediation. 2015;17(9):801-813. doi:10.1080/15226514.2014.981246",,
Impatients walleriana,Impatiens,,"Benzene, Chromium","Accumulator, Hyperaccumulator","Phytoextraction, Volatilization","1) Lai HY, Cai MC. Effects of extended growth periods on subcellular distribution, chemical forms, and the translocation of cadmium in Impatiens walleriana. Int J Phytoremediation. 2016;18(3):228-234. doi:10.1080/15226514.2015.1073677
 2) Campos V, Lessa SS, Ramos RL, Shinzato MC, Medeiros TAM. Disturbance response indicators of Impatiens walleriana exposed to benzene and chromium. Int J Phytoremediation. 2017;19(8):709-717. doi:10.1080/15226514.2017.1284745",,
Inbred B37 Zea mays,Corn (B37 Maize),,Cadmium,Accumulator,Phytoextraction,"(Phyto Textbook) Broadhurst, C.l., Chaney, R. L., Davis, A. P., Cox, A., Kumar, K., Reeves, R. D., and Green, C. E. 2013 Growth and cadmium phytoextraction by Swiss chard, maize, rice, Noccaea caerulescens and Alyssum murale in pH adjusted biosolids amended soils. International Journal of Phytoremediation, DOI, 10.1080/15226514.2013.828015.",,
Inga laurina,Sacky Sac Bean,,"Zinc, Cadmium, Copper, Palladium",Tolerant,Accumulator,"Meyer ST, Castro SR, Fernandes MM, Soares AC, de Souza Freitas GA, Ribeiro E. Heavy-metal-contaminated industrial soil: Uptake assessment in native plant species from Brazilian Cerrado. Int J Phytoremediation. 2016;18(8):832-838. doi:10.1080/15226514.2016.1146224",,
Ipomoea carnea,Pink Morning Glory,,"Iron, Manganese, Copper, Lead, Chromium, Nickel, Cadmium",Accumulator,Phytoextraction,"Pandey SK, Bhattacharya T, Chakraborty S. Metal phytoremediation potential of naturally growing plants on fly ash dumpsite of Patratu thermal power station, Jharkhand, India. Int J Phytoremediation. 2016;18(1):87-93. doi:10.1080/15226514.2015.1064353",,
Iris dichotoma Pall,Blackberry Lily,,Petroleum Hydrocarbons,,Phytodegradation,"Cheng L, Wang Y, Cai Z, Liu J, Yu B, Zhou Q. Phytoremediation of petroleum hydrocarbon-contaminated saline-alkali soil by wild ornamental Iridaceae species. Int J Phytoremediation. 2017;19(3):300-308. doi:10.1080/15226514.2016.1225282",,
Iris germanica,Bearded Iris,https://images.squarespace-cdn.com/content/669bb94c5910e504b512f3a4/1502a942-f1a3-492b-a061-ae3cf0ea392a/BeardedIris.jpg?content-type=image%2Fjpeg,"Aluminum, Arsenic, Cadmium, Copper, Flourine, Manganese, Zinc","Hyperaccumulator, Accumulator of Arsenic",Rhizofiltration,"1) University of Minnesota Sustainable Urban Landscape Information Series. http://www.sustland.umn.edu/design/water4.html
 2) http://www.flickr.com/photos/jeff_u/4636253576/ (Photo Source)",Accumulator of arsenic. Flowering plant. Hardiness zones 3-10,
Iris lactea Pall,Japanese Water Iris,,Petroleum Hydrocarbons,,Phytodegradation,"Cheng L, Wang Y, Cai Z, Liu J, Yu B, Zhou Q. Phytoremediation of petroleum hydrocarbon-contaminated saline-alkali soil by wild ornamental Iridaceae species. Int J Phytoremediation. 2017;19(3):300-308. doi:10.1080/15226514.2016.1225282",,
Iris pseudacorus,Pale Yellow Iris,https://images.squarespace-cdn.com/content/669bb94c5910e504b512f3a4/c1e527b8-675e-4443-8c67-2d4e12ddff18/PaleYellowIris.jpg?content-type=image%2Fjpeg,"Aluminum, Arsenic, Atrazine, Beryllium, Cadmium, Copper, Manganese","Accumulator of Cadmium/Manganese/Aluminum/Arsenic/Beryllium, Hyperaccumulator of Copper","Rhizodegradation, Phytodegradation","1) http://www.flickr.com/photos/valdelobos/4176838274/ (Photo Source)
 2) (Phyto Textbook) WAng, Q., Zhang, W., Li, L., and Xiao, B. 2012. Phytoremediation of atrazine by three emergent hydrophytes in a hydroponic system. Water Science and Technology66 (6), pp. 1282-1288.","Accumulator of Cadmium, Manganese, Aluminum, Arsenic, and Beryllium. Hyperaccumulator of Copper. Heavy Metals Type: Emergent/Upland Height: 1-3 ft. Flower Color: Bright yellow or cream-colored 3 years to mature before flowering, regenerates vegetative via rhizomes, absorb heavy metals, Provides erosion control.Semi-anaerobic and resistant, good for r",
Iris pseudacorus L.,Yellow Flag,,"Chromium, Nickel",,,"Xu B, Yu S, Ding J, Wu S, Ma J. Metal-Dependent Root Iron Plaque Effects on Distribution and Translocation of Chromium and Nickel in Yellow Flag (Iris pseudacorus L.). Int J Phytoremediation. 2015;17(1-6):175-181. doi:10.1080/15226514.2013.876965",,
Isoetes lacustris,Lake Quillwort,https://images.squarespace-cdn.com/content/669bb94c5910e504b512f3a4/70d42388-a40a-4348-b599-1f4f9d3edf53/LakeQuillwort.jpg?content-type=image%2Fjpeg,"Copper, Lead",N/A,N/A,"1) W. Carl Taylor @ USDA-NRCS plant database. (1992) http://wisplants.uwsp.edu/scripts/detail.asp?SpCode=ISOLAC
 2) April 2003, Jeremiah Knuth, Department of Civil Engineering, Colorado State University.http://rydberg.biology.colostate.edu/Phytoremediation/2003/Knuth/home.htm
 3) McCutcheon, S.C., & Schnoor, J.L. (Eds.). (2003). Phytoremediation: Transformation and Control of Contaminants. Hoboken, New Jersey: Wiley-Interscience, Inc. http://www.superorg.net/archive/proposal/plant%20species%20phyto.pdf
 4) http://www.flickr.com/photos/alexlomas/2943656569/v (Photo Source)","Growth Rate: Rapid, typically two flushes of new leaves each year. Duration, Growth Habit: Perennial, Graminoid. Moisture Use: High. Habitat: Submerged in soft water in 3Ã¢â‚¬â„¢ to 10Ã¢â‚¬â„¢ of water; in sandy, gravelly soil. Hardy to USDA Zone 3",
Jatropha curcas L with Acaulospora sp. fungus,Spurge,,"Cadmium, Lead, Zinc",Accumulator,Phytostabilization,"GonzÃ¡lez-ChÃ¡vez MD, Carrillo-GonzÃ¡lez R, HernÃ¡ndez GodÃ­nez MI, Evangelista Lozano S. Jatropha curcas and assisted phytoremediation of a mine tailing with biochar and a mycorrhizal fungus. Int J Phytoremediation. 2017;19(2):174-182. doi:10.1080/15226514.2016.1207602",,
Juncus balticus,Baltic Rush,https://images.squarespace-cdn.com/content/669bb94c5910e504b512f3a4/218560b8-72df-459d-bcd7-4aa89633f033/BalticRush.jpg?content-type=image%2Fjpeg,Copper,N/A,N/A,"1) Gallagher, J.L and H.V. Kibby, 1980. Marsh plants as vectors in trace metal transport in Oregon tidal marshes. American Journal of Botany, 67: 1069-1074
 2) http://www.flickr.com/photos/plant_diversity/6442158653/ (Photo Source)",Also known as Wire Rush. Perennial. Hardiness zone 3. Fast growth rate.,
